"Jurisdictions
","Citation

","Explicit Private Right of Action?

",Effective_date
"Maryland

"," Md. Code Ann., Com. Law. § 14-3501 et seq.
 Md. Code, Ins. § 4-406 (insurance carriers).

"," YES, under Consumer Protection Act. Md. Code Ann., Com. Law. § 14-3508.

",4/3/2007
"Massachusetts

"," Mass. Gen. Laws ch. 93H, § 1 et seq.

"," NO.

",0
"Michigan

"," Mich. Comp. Laws § 445.61 et seq.
 [For the insurance industry, Mich. Comp. Laws § 500.559 et seq.]

"," NO.
 Mich. Comp. Laws § 500.550 (insurance industry).

",0
"Minnesota

"," Minn. Stat. § 325E.61 (applicable to non-government entities); Minn. Stat. § 13.055 (applicable to government entities).

"," YES. Minn. Stat. § 8.31(3a) (as applicable to non-government entities); Minn. Stat. § 13.08(1) (as applicable to government entities).

",8/1/2008
"Mississippi

"," Miss. Code § 75-24-29.
 2019 Miss. S.B. 2831 § 6 (for insurance industry).

"," NO.
 For insurance licensees (effective Jul. 1, 2019): NO. 2019 Miss. S.B. 2831 § 2.

",0
"Missouri

"," Mo. Rev. Stat. § 407.1500 

"," NO.

",0
"Montana

"," Mont. Code § 30-14-1701 et seq.

"," NO.

",0
"Nebraska

"," Neb. Rev. Stat. § 87-801 et seq., “Financial Data Protection and Consumer Notification of Data Security Breach Act of 2006.”

"," NO.

",0
"Nevada

"," Nev. Rev. Stat. § 603A.010 et seq.

"," Data collector that provides requisite notice may bring suit for damages against a person that unlawfully obtained or benefited from personal information obtained from records maintained by the data collector. Nev. Rev. Stat. § 603A.900.

",0
"New Hampshire

"," N.H. Rev. Stat. § 359-C:19 et seq., “New Hampshire Right to Privacy Act.”
 For the insurance industry: N.H. Rev. Stat. § 420-P:1 et seq., “Insurance Data Security Law.”

"," YES. N.H. Rev. Stat. § 359-C:21(I).

",1/1/2020
"New Jersey

"," N.J. Rev. Stat. § 56:8-161 et seq.

"," NO.

",0
"New Mexico

"," N.M. Stat. Ann. §57-12C-1 et seq.

"," No.

",0
"New York

"," N.Y. Gen. Bus. Law § 899-aa (applicable to non-governmental entities); N.Y. State Tech. § 208 (applicable to governmental entities); N.Y. Educ. Law § 2-D (applicable to educational agencies and their third-party contractors).

"," No, but the state AG may sue on behalf of citizens and obtain damages for them, including consequential financial loss for failure to notify (in addition to imposing civil fines). N.Y. Gen. Bus. Law § 899-aa(6)(a)(as applicable to non-governmental entities). No applicable provision for governmental entities. No applicable provision for educational agencies and their third-party contractors.

",0
"North Carolina

"," N.C. Gen. Stat. § 75-61 et seq. “Identity Theft Protection Act”, N.C. Gen. Stat. § 75-65.

"," YES, but only if an individual is injured as a result of a violation of this section. N.C. Gen. Stat. § 75-65(i).

",10/1/2009
"North Dakota

"," N.D. Cent. Code § 51-30-01, et seq.; N.D. Cent. Code § 54-NEW-01, et seq.
 For insurance industry, N.D. Cent. Code §§ 26.1-02-01 et. seq.

"," NO.

",0
"Ohio

"," Ohio Rev. Code § 1349.19 - Ohio Rev. Code § 1349.192.
 For insurance industry: Ohio Rev. Code § 3965.01 et. seq..

"," NO.

",0
"Oklahoma

"," Okla. Stat. tit. 24 § 161 to Okla. Stat. tit. 24 § 166 “Security Breach Notification Act”

"," NO.

",0
"Oregon

"," Or. Rev. Stat. § 646A.600 et seq., “Oregon Consumer Information Protection Act.”

"," NO.

",0
"Pennsylvania

"," 73 Pa. Stat. § 2301 et seq., “Breach of Personal Information Notification Act”

"," NO.

",0
"Puerto Rico

"," P.R. Laws Ann. tit. 10, § 4051 et seq.

"," Yes. P.R. Laws Ann. tit. 10, § 4055.

",0
"Rhode Island

"," R.I. Gen. Laws § 11-49.3-1 et seq., “Rhode Island Identity Theft Protection Act of 2015.”

"," No.

",0
"South Carolina

"," S.C. Code § 39-1-90. [For the insurance industry, S.C. Code § 38-99-10 et seq.]

"," YES. S.C. Code § 39-1-90(G).

",7/1/2009
"South Dakota

"," SB 62, 93rd Sess. (S.D. 2018), eff. 7/1/2018.

"," NO.SB 62, 93rd Sess. (S.D. 2018), eff. 7/1/2018.

",0
"Tennessee

"," Tenn. Code § 47-18-2107.
 [Applicable to state insurance licensees] Tenn. Code § 56-2-1001 et seq. (effective July 1, 2021). 2021 Tenn. Pub. Acts. Ch. 345. Insurance Data Security Law, HB 766.

"," YES. Tenn. Code § 47-18-2107(h).
 For insurance licensees, there is NO associated private right of action. Tenn. Code § 56-2-1002(b).

",9/30/2019
"Texas

"," Tex. Bus. Com. Code § 521.002, Tex. Bus. Com. Code § 521.052, Tex. Bus. Com. Code § 521.053, Tex. Bus. Com. Code § 521.151

"," NO.

",0
"U.S. Virgin Islands

"," V.I. Code Ann. tit. 14, §2208 - 2212.

"," Yes. V.I. Code Ann. tit. 14, §2211(a).

",0
"Utah

"," Utah Code § 13-44-101 et seq., “Protection of Personal Information Act.”

"," NO.

",0
"Vermont

"," Vt. Stat. tit. 9, §2430 et seq., “Security Breach Notice Act”

"," NO.

",0
"Virginia

"," Va. Code § 18.2-186.6.
 For insurance industry: Va. Code § 38.2-621 (et. seq.).

"," YES. Va. Code § 18.2-186.6(I).
 For insurance industry: NOVa. Code § 38.2-622

",1/1/2023
"Washington

"," Wash. Rev. Code § 19.255.010 et seq.

"," YES. Wash. Rev. Code § 19.255.010(13).

",7/24/2005
"West Virginia

"," W. Va. Code § 46A-2A-101, et seq.

"," NO.

",0
"Wisconsin

"," Wis. Stat. § 134.98.

"," NO.

",0
"Wyoming

"," Wyo. Stat. § 40-12-501 et seq.

"," NO.

",0
