"Jurisdictions
","Citation

",Harm Required,Effective date
"Minnesota

"," Minn. Stat. § 325E.61 (applicable to non-government entities); Minn. Stat. § 13.055 (applicable to government entities).

"," NO.

",8/1/2008
"Mississippi

"," Miss. Code § 75-24-29.
 2019 Miss. S.B. 2831 § 6 (for insurance industry).

"," YES, but not only maintaining data. Miss. Code § 75-24-29(3).

",8/1/2008
"Missouri

"," Mo. Rev. Stat. § 407.1500 

"," YES. Mo. Rev. Stat. § 407.1500(2)(5).

",8/28/2009
"Montana

"," Mont. Code § 30-14-1701 et seq.

"," YES. Definition of “breach of the security of the data system,” includes a determination that the unauthorized acquisition of computerized data “materially compromises the security, confidentiality, or integrity of personal information maintained by the person or business and causes or is reasonably believed to cause loss or injury to a Montana resident.” Mont. Code § 30-14-1704(4)(1).

",3/1/2006
"Nebraska

"," Neb. Rev. Stat. § 87-801 et seq., “Financial Data Protection and Consumer Notification of Data Security Breach Act of 2006.”

"," YES. Neb. Rev. Stat. § 87-803.

",7/14/2006
"Nevada

"," Nev. Rev. Stat. § 603A.010 et seq.

"," YES, “breach of the security of the system data” is defined as the unauthorized acquisition of computerized data that materially compromises the security, confidentiality or integrity of personal information maintained by the data collector.” Nev. Rev. Stat. § 603A.020.

",10/1/2005
"New Hampshire

"," N.H. Rev. Stat. § 359-C:19 et seq., “New Hampshire Right to Privacy Act.”
 For the insurance industry: N.H. Rev. Stat. § 420-P:1 et seq., “Insurance Data Security Law.”

"," YES. N.H. Rev. Stat. § 359-C:20(I)(a).
 For the insurance industry: YES. N.H. Rev. Stat. § 420-P:6.

",1/1/2007
"New Jersey

"," N.J. Rev. Stat. § 56:8-161 et seq.

"," YES - disclosure not required if company determines that misuse of information is not reasonably possible; must document determination and retain for 5 years. N.J. Rev. Stat. § 56:8-163(a).

",1/1/2006
"New Mexico

"," N.M. Stat. Ann. §57-12C-1 et seq.

"," Notification is not required if, after an appropriate investigation, the data owner/licensee determines that the security breach does not give rise to a significant risk of identity theft or fraud. N.M. Stat. Ann. §57-12C-6(B).

",6/6/2017
"New York

"," N.Y. Gen. Bus. Law § 899-aa (applicable to non-governmental entities); N.Y. State Tech. § 208 (applicable to governmental entities); N.Y. Educ. Law § 2-D (applicable to educational agencies and their third-party contractors).

"," YES - In determining whether information has been acquired, or is reasonably believed to have been acquired, by an unauthorized person or a person without valid authorization, business may consider the following factors: (1) indication that info. is in phys. possession and control of an unauthorized person, (e.g., lost or stolen computer/other device); (2) indication that info. has been downloaded/ copied; or (3) indication that info. was used by an unauthorized person (e.g., fraudulent accounts opened or identity theft reported). N.Y. Gen. Bus. Law § 899-aa(1)(c)(as applicable to non-governmental entities); N.Y. State Tech. § 208(1)(b) (as applicable to governmental entities).
 NO - N.Y. Educ. Law § 2-D (as applicable to state educational agencies and their third party contractors).

",12/7/2005
"North Carolina

"," N.C. Gen. Stat. § 75-61 et seq. “Identity Theft Protection Act”, N.C. Gen. Stat. § 75-65.

"," YES. N.C. Gen. Stat. § 75-61(14).

",12/1/2005
"North Dakota

"," N.D. Cent. Code § 51-30-01, et seq.; N.D. Cent. Code § 54-NEW-01, et seq.
 For insurance industry, N.D. Cent. Code §§ 26.1-02-01 et. seq.

","YES For insurance industry: notification not required if licensee determines that the security breach is not reasonably likely to materially harm a consumer residing in this state or harm any material part of the normal operations of the licensee. N.D. Cent. Code § 26.1-02.2-05(1)

",6/1/2005
"Ohio

"," Ohio Rev. Code § 1349.19 - Ohio Rev. Code § 1349.192.
 For insurance industry: Ohio Rev. Code § 3965.01 et. seq..

"," YES. Ohio Rev. Code § 1349.19(B)(1).
 For insurance industry: YES. Ohio Rev. Code § 3965.04(A).

",2/17/2006
"Oklahoma

"," Okla. Stat. tit. 24 § 161 to Okla. Stat. tit. 24 § 166 “Security Breach Notification Act”

"," YES, must cause or reasonably believed to have caused or will cause “identity theft or other fraud.” Okla. Stat. tit. 24 § 163(A).

",11/1/2008
"Oregon

"," Or. Rev. Stat. § 646A.600 et seq., “Oregon Consumer Information Protection Act.”

"," YES. Or. Rev. Stat. § 646A.604(7).

",10/1/2007
"Pennsylvania

"," 73 Pa. Stat. § 2301 et seq., “Breach of Personal Information Notification Act”

"," YES. 73 Pa. Stat. § 2302, definition of “Breach of the security of the system.”

",6/20/2006
"Puerto Rico

"," P.R. Laws Ann. tit. 10, § 4051 et seq.

"," No.

",1/5/2006
"Rhode Island

"," R.I. Gen. Laws § 11-49.3-1 et seq., “Rhode Island Identity Theft Protection Act of 2015.”

"," YES (“significant risk of identity theft”). R.I. Gen. Laws § 11-49.3-4(a)(1)

",3/1/2006
"South Carolina

"," S.C. Code § 39-1-90. [For the insurance industry, S.C. Code § 38-99-10 et seq.]

"," YES. S.C. Code § 39-1-90(A); S.C. Code § 38-99-40(2)(b).

",7/1/2009
"South Dakota

"," SB 62, 93rd Sess. (S.D. 2018), eff. 7/1/2018.

"," YES; no notification required to individuals if, following appropriate investigation and notice to AG, the notifier reasonably determines that breach will not likely result in harm to affected SD residents. However, the notifier must document the determination in writing and maintain such documentation for at least 3 years. SB 62, 93rd Sess. (S.D. 2018), eff. 7/1/2018.

",7/1/2018
"Tennessee

"," Tenn. Code § 47-18-2107.
 [Applicable to state insurance licensees] Tenn. Code § 56-2-1001 et seq. (effective July 1, 2021). 2021 Tenn. Pub. Acts. Ch. 345. Insurance Data Security Law, HB 766.

"," NO.
 For insurance licensees, there is a threshold of harm defined as “reasonable likelihood of materially harming a consumer residing the in the state or a material part of the licensee's normal operations.” Tenn. Code § 56-2-1006(a).

",7/1/2005
"Texas

"," Tex. Bus. Com. Code § 521.002, Tex. Bus. Com. Code § 521.052, Tex. Bus. Com. Code § 521.053, Tex. Bus. Com. Code § 521.151

"," NO.

",9/1/2005
"U.S. Virgin Islands

"," V.I. Code Ann. tit. 14, §2208 - 2212.

"," No.

",10/17/2005
"Utah

"," Utah Code § 13-44-101 et seq., “Protection of Personal Information Act.”

"," YES. Utah Code § 13-44-202(1)(b), (3)(a).

",1/1/2007
"Vermont

"," Vt. Stat. tit. 9, §2430 et seq., “Security Breach Notice Act”

"," YES, but must still notify AG or Dept. of Financial Reg. of breach, even if no harm. Vt. Stat. tit. 9, §2435(b)(3)(B).

",1/1/2007
"Virginia

"," Va. Code § 18.2-186.6.
 For insurance industry: Va. Code § 38.2-621 (et. seq.).

"," YES, must cause or reasonably believed to have caused or will cause “identity theft or other fraud.” Va. Code § 18.2-186.6(A)(definition of “Breach of the security of the system”).

",7/1/2008
"Washington

"," Wash. Rev. Code § 19.255.010 et seq.

"," YES - must be “reasonably likely to subject consumers to a risk of harm.” Wash. Rev. Code § 19.255.010(1).

",7/24/2005
"West Virginia

"," W. Va. Code § 46A-2A-101, et seq.

"," YES, “has caused or will cause identity theft or other fraud to any resident of this state.” W. Va. Code § 46A-2A-102(a).

",6/7/2008
"Wisconsin

"," Wis. Stat. § 134.98.

"," YES. Wis. Stat. § 134.98(2)(cm)(1).

",3/31/2006
"Wyoming

"," Wyo. Stat. § 40-12-501 et seq.

"," YES. Wyo. Stat. § 40-12-502(a).

",7/1/2007
