"Jurisdictions
","Citation

","Apply to Encrypted Data?

",Effective_Date
"Idaho

"," Idaho Code § 28-51-104, Idaho Code § 28-51-105, Idaho Code § 28-51-106, Idaho Code § 28-51-107.

"," NO.

",0
"Illinois

"," 815 Ill. Comp. Stat. 530/1 et seq., “Personal Information Protection Act”.

"," YES. If breach involves encrypted or redacted data along with the keys needed to unencrypt, unredact, or otherwise read the name or data elements, notification is required. 815 Ill. Comp. Stat. 530/5.

",1/1/2017
"Indiana

"," Ind. Code § 24-4.9-1-1 et seq. (applicable to non-governmental entities); Ind. Code § 4-1-11-1 et seq. (applicable to state and local agencies).

"," YES, if notifier is not a state or local agency and encrypted personal information was or may have been acquired by an unauthorized person with access to the encryption key. Ind. Code § 24-4.9-3-1(a)(2); NO if notifier is a state or local agency.

",7/1/2006
"Iowa

"," Iowa Code § 715C.1 - Iowa Code § 715C.2.

"," YES, if information is encrypted and encryption key has been obtained through the breach of security. Iowa Code § 715C.1(11)(a). Encryption is defined to mean a method that meets “accepted industry standards.” Iowa Code § 715C.1(5).

",7/1/2014
"Kansas

"," Kan. Stat. § 50-7a01 et seq.

"," NO.

",0
"Kentucky

"," Ky. Rev. Stat. § 365.720 et seq.

"," NO.

",0
"Louisiana

"," La. Rev. Stat. § 51:3071 et seq., “Database Security Breach Notification Law”.

"," NO.

",0
"Maine

"," Me. Rev. Stat. Ann. tit. 10, § 1346 et seq. “the Notice of Risk to Personal Data Act.”

"," NO.

",0
"Maryland

"," Md. Code Ann., Com. Law. § 14-3501 et seq.
 Md. Code, Ins. § 4-406 (insurance carriers).

"," NO.

",0
"Massachusetts

"," Mass. Gen. Laws ch. 93H, § 1 et seq.

"," YES, if unauthorized acquisition or use of encrypted electronic data and confidential process or key is capable of compromising the security, confidentiality or integrity of personal information. Mass. Gen. Laws ch. 93H, § 1(a).

",10/31/2007
"Michigan

"," Mich. Comp. Laws § 445.61 et seq.
 [For the insurance industry, Mich. Comp. Laws § 500.559 et seq.]

"," YES, if encrypted information was accessed by a person with unauthorized access to the encryption key. Mich. Comp. Laws § 445.72(1)(b); Mich. Comp. Laws § 500.561(1)(b) (insurance industry).

",4/1/2011
"Minnesota

"," Minn. Stat. § 325E.61 (applicable to non-government entities); Minn. Stat. § 13.055 (applicable to government entities).

"," NO

",0
"Mississippi

"," Miss. Code § 75-24-29.
 2019 Miss. S.B. 2831 § 6 (for insurance industry).

"," NO.
 For insurance industry (effective Jul. 1, 2019): NO. 2019 Miss. S.B. 2831 § 3(d).

",0
"Missouri

"," Mo. Rev. Stat. § 407.1500 

"," NO.

",0
"Montana

"," Mont. Code § 30-14-1701 et seq.

"," NO.

",0
"Nebraska

"," Neb. Rev. Stat. § 87-801 et seq., “Financial Data Protection and Consumer Notification of Data Security Breach Act of 2006.”

"," YES, if the confidential process or key was or is reasonably believed to have been acquired as a result of the breach. Neb. Rev. Stat. § 87-802(3).

",7/20/2016
"Nevada

"," Nev. Rev. Stat. § 603A.010 et seq.

"," NO.

",0
"New Hampshire

"," N.H. Rev. Stat. § 359-C:19 et seq., “New Hampshire Right to Privacy Act.”
 For the insurance industry: N.H. Rev. Stat. § 420-P:1 et seq., “Insurance Data Security Law.”

"," YES, if data is acquired in combination with any required key, security code, access code or password that would permit access to the encrypted data. N.H. Rev. Stat. § 359-C:19(II).

",1/1/2007
"New Jersey

"," N.J. Rev. Stat. § 56:8-161 et seq.

"," NO (or any other method that renders the information unreadable). N.J. Rev. Stat. § 56:8-161.

",0
"New Mexico

"," N.M. Stat. Ann. §57-12C-1 et seq.

"," Yes, if the confidential process or key used to decrypt the encrypted data is also breached. N.M. Stat. Ann. §57-12C-2(D).

",6/6/2017
"New York

"," N.Y. Gen. Bus. Law § 899-aa (applicable to non-governmental entities); N.Y. State Tech. § 208 (applicable to governmental entities); N.Y. Educ. Law § 2-D (applicable to educational agencies and their third-party contractors).

"," NO.

",0
"North Carolina

"," N.C. Gen. Stat. § 75-61 et seq. “Identity Theft Protection Act”, N.C. Gen. Stat. § 75-65.

"," YES, if the encryption key or confidential process has also been breached. N.C. Gen. Stat. § 75-61(14).

",12/1/2005
"North Dakota

"," N.D. Cent. Code § 51-30-01, et seq.; N.D. Cent. Code § 54-NEW-01, et seq.
 For insurance industry, N.D. Cent. Code §§ 26.1-02-01 et. seq.

"," NO.

",0
"Ohio

"," Ohio Rev. Code § 1349.19 - Ohio Rev. Code § 1349.192.
 For insurance industry: Ohio Rev. Code § 3965.01 et. seq..

"," NO.

",0
"Oklahoma

"," Okla. Stat. tit. 24 § 161 to Okla. Stat. tit. 24 § 166 “Security Breach Notification Act”

"," YES, if encrypted information is accessed and acquired in an unencrypted form or if the security breach involves a person with access to the encryption key and the individual or entity reasonably believes that such breach has caused or will cause identity theft or fraud to any OK resident. Okla. Stat. tit. 24 § 163(B).

",1/1/2008
"Oregon

"," Or. Rev. Stat. § 646A.600 et seq., “Oregon Consumer Information Protection Act.”

"," NO (also does not apply to redacted data). Or. Rev. Stat. § 646A.602(11)(b)(i).

",0
"Pennsylvania

"," 73 Pa. Stat. § 2301 et seq., “Breach of Personal Information Notification Act”

"," YES, if information is acquired in unencrypted form, if the breach involves the security of the encryption, or if it involves a person with access to the key. 73 Pa. Stat. § 2303(b).

",6/20/2006
"Puerto Rico

"," P.R. Laws Ann. tit. 10, § 4051 et seq.

"," No. P.R. Laws Ann. tit. 10, § 4051.

",0
"Rhode Island

"," R.I. Gen. Laws § 11-49.3-1 et seq., “Rhode Island Identity Theft Protection Act of 2015.”

"," No.

",0
"South Carolina

"," S.C. Code § 39-1-90. [For the insurance industry, S.C. Code § 38-99-10 et seq.]

"," NO.

",0
"South Dakota

"," SB 62, 93rd Sess. (S.D. 2018), eff. 7/1/2018.

"," YES, provided that the encryption key that would render the compromised data readable is also subject to breach. SB 62, 93rd Sess. (S.D. 2018), eff. 7/1/2018.

",7/1/2018
"Tennessee

"," Tenn. Code § 47-18-2107.
 [Applicable to state insurance licensees] Tenn. Code § 56-2-1001 et seq. (effective July 1, 2021). 2021 Tenn. Pub. Acts. Ch. 345. Insurance Data Security Law, HB 766.

"," YES, if encryption key is also compromised by breach. Tenn. Code § 47-18-2107(a)(1)(A). Under the insurance data security law, this also applies related to encryption. Tenn. Code § 56-2-1003(4)(B).

",4/4/2017
"Texas

"," Tex. Bus. Com. Code § 521.002, Tex. Bus. Com. Code § 521.052, Tex. Bus. Com. Code § 521.053, Tex. Bus. Com. Code § 521.151

"," YES, if person accessing the data has the key required to decrypt the data. Tex. Bus. Com. Code § 521.053(a).

",9/1/2009
"U.S. Virgin Islands

"," V.I. Code Ann. tit. 14, §2208 - 2212.

"," No.

",0
"Utah

"," Utah Code § 13-44-101 et seq., “Protection of Personal Information Act.”

"," NO.

",0
"Vermont

"," Vt. Stat. tit. 9, §2430 et seq., “Security Breach Notice Act”

"," NO.

",0
"Virginia

"," Va. Code § 18.2-186.6.
 For insurance industry: Va. Code § 38.2-621 (et. seq.).

"," YES, if encrypted information is accessed and acquired in an unencrypted form or if the security breach involves a person with access to the encryption key and the individual or entity reasonably believes that such breach has caused or will cause identity theft or other fraud to any VA resident. Va. Code § 18.2-186.6(C).
 For insurance industry: No Va. Code § 38.2-621

",7/1/2008
"Washington

"," Wash. Rev. Code § 19.255.010 et seq.

"," NO. “Secured” means encrypted in a manner that meets or exceeds the NIST standard or is otherwise modified so that the PI is rendered unreadable, unusable or undecipherable by an unauthorized person. Notice is required if information acquired and accessed is not secured during a breach or if the confidential process, encryption key or other means to decipher the secured information was acquired by an unauthorized person. Wash. Rev. Code § 19.255.010(1), (7).

",0
"West Virginia

"," W. Va. Code § 46A-2A-101, et seq.

"," YES, if encrypted info. is accessed and acquired in an unencrypted form or if security breach involves a person with access to the encryption key and the individual or entity reasonably believes that such breach has caused or will cause identity theft or other fraud to any WV resident. W. Va. Code § 46A-2A-102(b).

",6/7/2008
"Wisconsin

"," Wis. Stat. § 134.98.

"," NO.

",0
"Wyoming

"," Wyo. Stat. § 40-12-501 et seq.

"," Only applies to non-""redacted” data, with redaction defined as alteration or truncation of data such that no more than 5 digits of the data defined as “personal identifying information” is accessible. Wyo. Stat. § 40-12-501(a)(vii), (a)(viii).

",0
